,Institute ID,Name,City,State,Score,Rank
0,IR-E-U-0456,Indian Institute of Technology MadrasMore Details |,Chennai,Tamil Nadu,90.04,1
1,IR-E-I-1074,"Indian Institute of Technology, DelhiMore Details |",New Delhi,Delhi,88.12,2
2,IR-E-U-0306,"Indian Institute of Technology, BombayMore Details |",Mumbai,Maharashtra,83.96,3
3,IR-E-I-1075,Indian Institute of Technology KanpurMore Details |,Kanpur,Uttar Pradesh,82.56,4
4,IR-E-U-0573,"Indian Institute of Technology, KharagpurMore Details |",Kharagpur,West Bengal,78.89,5
5,IR-E-U-0560,"Indian Institute of Technology, RoorkeeMore Details |",Roorkee,Uttarakhand,76.7,6
6,IR-E-U-0053,Indian Institute of Technology GuwahatiMore Details |,Guwahati,Assam,72.98,7
7,IR-E-U-0467,"National Institute of Technology, TiruchirappalliMore Details |",Tiruchirappalli,Tamil Nadu,69.17,8
8,IR-E-U-0013,Indian Institute of Technology HyderabadMore Details |,Hyderabad,Telangana,68.03,9
9,IR-E-U-0237,"National Institute of Technology Karnataka, Surathkal More Details |",Surathkal,Karnataka,66.04,10
10,IR-E-U-0575,Jadavpur UniversityMore Details |,Kolkata,West Bengal,65.68,11
11,IR-E-U-0490,Vellore Institute of TechnologyMore Details |,Vellore,Tamil Nadu,65.53,12
12,IR-E-U-0701,Indian Institute of Technology (Banaras Hindu University) VaranasiMore Details |,Varanasi,Uttar Pradesh,63.51,13
13,IR-E-U-0205,Indian Institute of Technology (Indian School of Mines)More Details |,Dhanbad,Jharkhand,63.5,14
14,IR-E-U-0357,National Institute of Technology RourkelaMore Details |,Rourkela,Odisha,62.36,15
15,IR-E-U-0273,Indian Institute of Technology IndoreMore Details |,Indore,Madhya Pradesh,61.68,16
16,IR-E-U-0439,Anna UniversityMore Details |,Chennai,Tamil Nadu,61.41,17
17,IR-E-U-0308,Institute of Chemical TechnologyMore Details |,Mumbai,Maharashtra,61.4,18
18,IR-E-U-0436,Amrita Vishwa VidyapeethamMore Details |,Coimbatore,Tamil Nadu,60.92,19
19,IR-E-U-0184,"Indian Institute of Technology, MandiMore Details |",Mandi,Himachal Pradesh,60.43,20
20,IR-E-U-0025,National Institute of Technology WarangalMore Details |,Warangal,Telangana,60.0,21
21,IR-E-U-0378,Indian Institute of Technology RoparMore Details |,Rupnagar,Punjab,59.16,22
22,IR-E-U-0139,"Indian Institute of Technology, GandhinagarMore Details |",Gandhinagar,Gujarat,58.27,23
23,IR-E-U-0473,S.R.M. Institute of Science and TechnologyMore Details |,Chennai,Tamil Nadu,58.02,24
24,IR-E-U-0497,Amity UniversityMore Details |,Gautam Budh Nagar,Uttar Pradesh,57.73,25
25,IR-E-U-0108,"Jamia Millia Islamia, New DelhiMore Details |",New Delhi,Delhi,57.51,26
26,IR-E-U-0363,Siksha `O` AnusandhanMore Details |,Bhubaneswar,Odisha,57.48,27
27,IR-E-I-1480,Thapar Institute of Engineering and TechnologyMore Details |,Patiala,Punjab,57.18,28
28,IR-E-U-0391,Birla Institute of Technology & Science - PilaniMore Details |,Pilani,Rajasthan,56.9,29
29,IR-E-U-0395,Indian Institute of Technology JodhpurMore Details |,Jodhpur,Rajasthan,56.7,30
30,IR-E-U-0263,"National Institute of Technology, CalicutMore Details |",Kozhikode,Kerala,56.66,31
31,IR-E-U-0334,"Visvesvaraya National Institute of Technology, NagpurMore Details |",Nagpur,Maharashtra,56.62,32
32,IR-E-U-0064,"Indian Institute of Technology, PatnaMore Details |",Patna,Bihar,56.19,33
33,IR-E-U-0577,National Institute of Technology DurgapurMore Details |,Durgapur,West Bengal,55.76,34
34,IR-E-U-0098,Delhi Technological UniversityMore Details |,New Delhi,Delhi,55.65,35
35,IR-E-U-0355,Indian Institute of Technology BhubaneswarMore Details |,Bhubaneswar,Odisha,55.11,36
36,IR-E-U-0496,Aligarh Muslim UniversityMore Details |,Aligarh,Uttar Pradesh,54.7,37
37,IR-E-U-0055,"National Institute of Technology, SilcharMore Details |",Silchar,Assam,54.63,38
38,IR-E-U-0458,Kalasalingam Academy of Research and EducationMore Details |,Srivilliputtur,Tamil Nadu,54.62,39
39,IR-E-U-0584,"Indian Institute of Engineering Science and Technology, ShibpurMore Details |",HOWRAH,West Bengal,54.57,40
40,IR-E-U-0476,Shanmugha Arts Science Technology & Research AcademyMore Details |,Thanjavur,Tamil Nadu,53.36,41
41,IR-E-U-0356,Kalinga Institute of Industrial TechnologyMore Details |,BHUBANESWAR,Odisha,53.06,42
42,IR-E-U-0255,Indian Institute of Space Science and TechnologyMore Details |,Thiruvananthapuram,Kerala,52.37,43
43,IR-E-U-0020,Koneru Lakshmaiah Education Foundation University (K L College of Engineering)More Details |,Vaddeswaram,Andhra Pradesh,51.93,44
44,IR-E-U-0747,Chandigarh UniversityMore Details |,Mohali,Punjab,51.73,45
45,IR-E-U-0410,Malaviya National Institute of TechnologyMore Details |,Jaipur,Rajasthan,51.69,46
46,IR-E-U-0530,Motilal Nehru National Institute of TechnologyMore Details |,Prayagraj,Uttar Pradesh,51.17,47
47,IR-E-C-16604,Sri Sivasubramaniya Nadar College of EngineeringMore Details |,Kancheepuram,Tamil Nadu,50.5,48
48,IR-E-U-0249,Visvesvaraya Technological UniversityMore Details |,Belgaum,Karnataka,50.2,49
49,IR-E-U-0172,National Institute of Technology KurukshetraMore Details |,Kurukshetra,Haryana,50.11,50
50,IR-E-U-0379,Lovely Professional UniversityMore Details |,Phagwara,Punjab,49.58,51
51,IR-E-U-0374,"Dr. B R Ambedkar National Institute of Technology, JalandharMore Details |",Jalandhar,Punjab,49.45,52
52,IR-E-U-0202,Birla Institute of TechnologyMore Details |,Ranchi,Jharkhand,49.33,53
53,IR-E-U-0474,Sathyabama Institute of Science and TechnologyMore Details |,Chennai,Tamil Nadu,48.56,54
54,IR-E-C-7252,Manipal Institute of TechnologyMore Details |,Manipal,Karnataka,48.33,55
55,IR-E-U-0844,"Indian Institute of Technology, TirupatiMore Details |",YERPEDU,Andhra Pradesh,48.16,56
56,IR-E-C-37013,PSG College of TechnologyMore Details |,Coimbatore,Tamil Nadu,47.68,57
57,IR-E-U-0149,Sardar Vallabhbhai National Institute of TechnologyMore Details |,Surat,Gujarat,47.61,58
58,IR-E-U-0389,Banasthali VidyapithMore Details |,Banasthali,Rajasthan,47.0,59
59,IR-E-U-0619,National Institute of Technology MeghalayaMore Details |,Shillong,Meghalaya,46.67,60
60,IR-E-U-0564,University of Petroleum and Energy StudiesMore Details |,Dehradun,Uttarakhand,46.43,61
61,IR-E-U-0014,International Institute of Information Technology HyderabadMore Details |,Hyderabad,Telangana,46.41,62
62,IR-E-U-0072,"National Institute of Technology, PatnaMore Details |",Patna,Bihar,46.24,63
63,IR-E-U-0555,Graphic Era UniversityMore Details |,Dehradun,Uttarakhand,45.87,64
64,IR-E-U-0092,"National Institute of Technology, RaipurMore Details |",Raipur,Chhattisgarh,45.71,65
65,IR-E-U-0197,National Institute of Technology SrinagarMore Details |,Srinagar,Jammu and Kashmir,45.52,66
66,IR-E-C-1331,M. S. Ramaiah Institute of TechnologyMore Details |,Bengaluru,Karnataka,45.17,67
67,IR-E-U-0878,Indian Institute of Technology PalakkadMore Details |,Palakkad,Kerala,44.92,68
68,IR-E-U-0105,Indraprastha Institute of Information Technology DelhiMore Details |,New Delhi,Delhi,44.79,69
69,IR-E-U-0284,Maulana Azad National Institute of TechnologyMore Details |,Bhopal,Madhya Pradesh,44.63,70
70,IR-E-U-0297,Defence Institute of Advanced TechnologyMore Details |,Pune,Maharashtra,44.62,71
71,IR-E-C-41593,"College of Engineering, PuneMore Details |",Pune,Maharashtra,44.38,72
72,IR-E-C-36995,Sri Krishna College of Engineering and TechnologyMore Details |,Coimbatore,Tamil Nadu,44.16,73
73,IR-E-U-0099,Guru Gobind Singh Indraprastha UniversityMore Details |,New Delhi,Delhi,44.02,74
74,IR-E-U-0749,"Manipal University, JaipurMore Details |",Jaipur,Rajasthan,43.83,75
75,IR-E-U-0017,Jawaharlal Nehru Technological UniversityMore Details |,Hyderabad,Telangana,42.77,76
76,IR-E-C-24004,AU College of Engineering (A)More Details |,Visakhapatnam,Andhra Pradesh,42.76,77
77,IR-E-U-0267,Atal Bihari Vajpayee Indian Institute of Information Technology and ManagementMore Details |,Gwalior,Madhya Pradesh,42.56,78
78,IR-E-C-6379,Netaji Subhas University of Technology (NSUT)More Details |,South West,Delhi,42.14,79
79,IR-E-U-0493,National Institute of Technology AgartalaMore Details |,Agratala,Tripura,41.92,80
80,IR-E-U-0221,International Institute of Information Technology BangaloreMore Details |,Bengaluru,Karnataka,41.91,81
81,IR-E-U-0286,"Pandit Dwarka Prasad Mishra Indian Institute of Information Technology, Design and Manufacturing (IIITDM) JabalpurMore Details |",Jabalpur,Madhya Pradesh,41.79,82
82,IR-E-C-1262,B.M.S. College of EngineeringMore Details |,Bengaluru,Karnataka,41.71,83
83,IR-E-U-0489,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and TechnologyMore Details |,Chennai,Tamil Nadu,41.35,84
